SlowPerformance,SlowPerformance2,SlowPerformance3,reversed,reversed2,reversed3,pipelined0,pipelined1,matrixStyle,matrixStyle2,N
1.589591,1.594702,1.6004,0.624115,1.462897,1.195768,1.956864,1.43855,1.447306,1.427267,5000
1.589394,1.594774,1.600124,0.617669,1.418161,1.172219,1.957354,1.438251,1.447305,1.426996,10000
1.588683,1.594298,1.599094,0.614901,1.40345,1.163441,1.955845,1.437912,1.446814,1.427213,15000
1.58941,1.591943,1.59717,0.61418,1.401675,1.157083,1.954061,1.437619,1.446038,1.426947,20000
1.586727,1.591785,1.59703,0.613235,1.401549,1.158086,1.953447,1.437472,1.445685,1.426806,25000
1.587072,1.591692,1.598906,0.612623,1.401126,1.153397,1.953546,1.437434,1.445592,1.426871,30000
1.587055,1.591819,1.599007,0.612303,1.400481,1.15551,1.95358,1.437483,1.445672,1.427065,35000
1.586657,1.59164,1.59886,0.611944,1.399488,1.152495,1.953544,1.437472,1.44563,1.426942,40000
1.589264,1.591785,1.598266,0.611603,1.398717,1.154848,1.953524,1.437455,1.44563,1.42697,45000
1.589465,1.591771,1.597979,0.611395,1.397373,1.150074,1.953595,1.437484,1.445575,1.427065,50000
1.58949,1.591774,1.599041,0.610984,1.396449,1.154027,1.953548,1.437503,1.445642,1.427067,55000
1.589553,1.591897,1.598269,0.610577,1.396696,1.148779,1.9536,1.437511,1.445605,1.426994,60000
1.589508,1.591932,1.598863,0.610345,1.395765,1.149253,1.953744,1.437535,1.445601,1.427018,65000
1.58956,1.591897,1.598777,0.610118,1.396165,1.148984,1.953631,1.437502,1.445593,1.426998,70000
1.589633,1.591935,1.59877,0.609571,1.395434,1.148449,1.953627,1.437514,1.445633,1.427063,75000
1.58973,1.591819,1.598509,0.60947,1.39485,1.148243,1.953613,1.437511,1.445578,1.427101,80000
1.589672,1.591774,1.598216,0.609417,1.395272,1.148023,1.953574,1.437489,1.445575,1.427064,85000
1.589513,1.591961,1.598948,0.609373,1.395126,1.148031,1.95373,1.437469,1.445578,1.427003,90000
1.589677,1.59196,1.598872,0.609257,1.395386,1.148751,1.953646,1.4375,1.445559,1.427004,95000
1.58949,1.591803,1.598807,0.60924,1.394876,1.152516,1.953602,1.437499,1.445552,1.427006,100000
1.589437,1.591884,1.599157,0.609269,1.39488,1.14837,1.953654,1.437479,1.445551,1.42695,105000
1.589921,1.58956,1.598253,0.609145,1.395043,1.150114,1.953746,1.437472,1.44558,1.427023,110000
1.589422,1.589572,1.598068,0.60915,1.395546,1.148037,1.953742,1.43744,1.445518,1.426956,115000
1.589534,1.589547,1.59831,0.608918,1.39368,1.150821,1.953557,1.437438,1.445553,1.427016,120000
